parent_id	child_id	parent_index	child_index	relative_root_seconds	parent_lag_seconds	edge_weight
3453646882841201	3453853405793080	0	1	49238	49238	49238
3453646882841201	3453853498462028	0	2	49260	49260	49260
3453646882841201	3453853632706138	0	3	49292	49292	49292
3453646882841201	3453853662221514	0	4	49298	49298	49298
3453646882841201	3453853708368160	0	5	49310	49310	49310
3453646882841201	3453853821638122	0	6	49337	49337	49337
3453646882841201	3453853842614109	0	7	49342	49342	49342
3453646882841201	3453853921860310	0	8	49362	49362	49362
3453853821638122	3453853947340401	6	9	49367	30	49367
3453646882841201	3453853985096615	0	10	49376	49376	49376
3453853947340401	3453854148363833	9	11	49415	48	49415
3453854148363833	3453854190658029	11	12	49425	10	49425
3453646882841201	3453854203242902	0	13	49428	49428	49428
3453854190658029	3453854248627976	12	14	49438	13	49438
3453646882841201	3453854336712692	0	15	49460	49460	49460
3453646882841201	3453854446717758	0	16	49485	49485	49485
3453854248627976	3453854454563312	14	17	49487	49	49487
3453646882841201	3453854513839952	0	18	49502	49502	49502
3453854454563312	3453854576346980	17	19	49516	29	49516
3453854576346980	3453854585158157	19	20	49519	3	49519
3453854446717758	3453854706395764	16	21	49548	63	49548
3453854585158157	3453854752542187	20	22	49559	40	49559
3453646882841201	3453854831664971	0	23	49578	49578	49578
3453854454563312	3453854836444680	17	24	49578	91	49578
3453854836444680	3453854882752483	24	25	49590	12	49590
3453646882841201	3453855008444337	0	26	49620	49620	49620
3453646882841201	3453855100900886	0	27	49642	49642	49642
3453646882841201	3453855142688641	0	28	49651	49651	49651
3453853662221514	3453855209974622	4	29	49667	369	49667
3453646882841201	3453855243536046	0	30	49676	49676	49676
3453646882841201	3453855323079481	0	31	49695	49695	49695
3453646882841201	3453855339200976	0	32	49700	49700	49700
3453646882841201	3453855402953073	0	33	49715	49715	49715
3453646882841201	3453855507832193	0	34	49737	49737	49737
3453646882841201	3453855603891691	0	35	49762	49762	49762
3453854576346980	3453855708723823	19	36	49787	271	49787
3453855708723823	3453855742762798	36	37	49793	6	49793
3453854513839952	3453855759111827	18	38	49799	297	49799
3453855742762798	3453855834559373	37	39	49817	24	49817
3453855834559373	3453855877008604	39	40	49827	10	49827
3453646882841201	3453855914255131	0	41	49836	49836	49836
3453855877008604	3453855918960830	40	42	49837	10	49837
3453646882841201	3453856040187083	0	43	49866	49866	49866
3453646882841201	3453856199077062	0	44	49904	49904	49904
3453646882841201	3453856212187651	0	45	49906	49906	49906
3453646882841201	3453856266332504	0	46	49920	49920	49920
3453855918960830	3453856341690496	42	47	49938	101	49938
3453856212187651	3453856468267651	45	48	49968	62	49968
3453646882841201	3453856485048193	0	49	49970	49970	49970
3453646882841201	3453856488498592	0	50	49973	49973	49973
3453856040187083	3453856518609246	43	51	49979	113	49979
3453856341690496	3453856556366507	47	52	49989	51	49989
3453646882841201	3453856665262937	0	53	50014	50014	50014
3453646882841201	3453856707214105	0	54	50025	50025	50025
3453853405793080	3453856715002377	1	55	50027	789	50027
3453646882841201	3453856840837819	0	56	50057	50057	50057
3453646882841201	3453857088709716	0	57	50115	50115	50115
3453856556366507	3453857139496670	52	58	50127	138	50127
3453646882841201	3453857143246836	0	59	50129	50129	50129
3453646882841201	3453857235986143	0	60	50150	50150	50150
3453646882841201	3453857244376210	0	61	50152	50152	50152
3453857139496670	3453857386750125	58	62	50187	60	50187
3453857386750125	3453857399336222	62	63	50191	4	50191
3453857399336222	3453857621680797	63	64	50242	51	50242
3453857621680797	3453857646851449	64	65	50248	6	50248
3453854576346980	3453857696663326	19	66	50261	745	50261
3453855142688641	3453857705584308	28	67	50263	612	50263
3453857386750125	3453857809915399	62	68	50288	101	50288
3453646882841201	3453857927738998	0	69	50316	50316	50316
3453854248627976	3453857982276095	14	70	50329	891	50329
3453646882841201	3453858053786027	0	71	50346	50346	50346
3453646882841201	3453858061984019	0	72	50348	50348	50348
3453646882841201	3453858103531808	0	73	50357	50357	50357
3453857982276095	3453858132893571	70	74	50365	36	50365
3453858132893571	3453858242114234	74	75	50390	25	50390
3453858242114234	3453858552200846	75	76	50465	75	50465
3453646882841201	3453858565339967	0	77	50469	50469	50469
3453646882841201	3453858653439071	0	78	50487	50487	50487
3453646882841201	3453858703781773	0	79	50500	50500	50500
3453858552200846	3453858783490238	76	80	50520	55	50520
3453853405793080	3453858787685872	1	81	50520	1282	50520
3453858783490238	3453858817051730	80	82	50527	7	50527
3453646882841201	3453858888169635	0	83	50545	50545	50545
3453646882841201	3453858913541687	0	84	50551	50551	50551
3453646882841201	3453859173645059	0	85	50613	50613	50613
3453646882841201	3453859202089082	0	86	50620	50620	50620
3453646882841201	3453859274124684	0	87	50638	50638	50638
3453646882841201	3453859299500404	0	88	50643	50643	50643
3453646882841201	3453859306952083	0	89	50645	50645	50645
3453646882841201	3453859353832291	0	90	50656	50656	50656
3453646882841201	3453859521377326	0	91	50696	50696	50696
3453856341690496	3453859525066798	47	92	50698	760	50698
3453859525066798	3453859677069686	92	93	50733	35	50733
3453853821638122	3453859936129701	6	94	50795	1458	50795
3453646882841201	3453859995431337	0	95	50807	50807	50807
3453853921860310	3453860012424650	8	96	50811	1449	50811
3453859936129701	3453860066749791	94	97	50826	31	50826
3453646882841201	3453860108104884	0	98	50836	50836	50836
3453854248627976	3453860180234023	14	99	50853	1415	50853
3453646882841201	3453860272313142	0	100	50873	50873	50873
3453858242114234	3453860314481099	75	101	50885	495	50885
3453856840837819	3453860733522057	56	102	50985	928	50985
3453646882841201	3453860734005031	0	103	50985	50985	50985
3453860272313142	3453860859862918	100	104	51015	142	51015
3453860108104884	3453860926725834	98	105	51031	195	51031
3453857646851449	3453860951673252	65	106	51037	789	51037
3453646882841201	3453860976371194	0	107	51043	51043	51043
3453860951673252	3453861136487828	106	108	51081	44	51081
3453646882841201	3453861341294844	0	109	51130	51130	51130
3453855339200976	3453861522220907	32	110	51173	1473	51173
3453861136487828	3453861870422818	108	111	51256	175	51256
3453855603891691	3453861945306596	35	112	51272	1510	51272
3453646882841201	3453861954064950	0	113	51274	51274	51274
3453646882841201	3453862243118155	0	114	51345	51345	51345
3453646882841201	3453862273138467	0	115	51352	51352	51352
3453861870422818	3453862364905929	111	116	51374	118	51374
3453859936129701	3453862415777484	94	117	51386	591	51386
3453853498462028	3453862638125245	2	118	51439	2179	51439
3453646882841201	3453862666911935	0	119	51447	51447	51447
3453858242114234	3453862688468761	75	120	51451	1061	51451
3453646882841201	3453862788910289	0	121	51476	51476	51476
3453646882841201	3453862801495228	0	122	51478	51478	51478
3453861136487828	3453862923156092	108	123	51505	424	51505
3453646882841201	3453863485303666	0	124	51640	51640	51640
3453858242114234	3453863632136743	75	125	51675	1285	51675
3453860926725834	3453863640273436	105	126	51678	647	51678
3453646882841201	3453864081027529	0	127	51783	51783	51783
3453646882841201	3453864168141523	0	128	51804	51804	51804
3453646882841201	3453864277941909	0	129	51829	51829	51829
3453860976371194	3453864336674492	107	130	51844	801	51844
3453646882841201	3453864546437885	0	131	51893	51893	51893
3453646882841201	3453864621952159	0	132	51912	51912	51912
3453863632136743	3453864638466738	125	133	51916	241	51916
3453646882841201	3453864717623975	0	134	51936	51936	51936
3453864638466738	3453864890179327	133	135	51976	60	51976
3453646882841201	3453864903034390	0	136	51978	51978	51978
3453646882841201	3453864982474523	0	137	51997	51997	51997
3453646882841201	3453865020501645	0	138	52006	52006	52006
3453646882841201	3453865229766222	0	139	52057	52057	52057
3453860926725834	3453865317851312	105	140	52078	1047	52078
3453646882841201	3453865372380112	0	141	52091	52091	52091
3453865498762898	3453865498215917	143	142	52121	0	52121
3453858653439071	3453865498762898	78	143	52121	1634	52121
3453646882841201	3453865553023910	0	144	52133	52133	52133
3453646882841201	3453865565609690	0	145	52137	52137	52137
3453858242114234	3453865645056463	75	146	52156	1766	52156
3453857088709716	3453865661802529	57	147	52159	2044	52159
3453865317851312	3453865762522275	140	148	52183	105	52183
3453861136487828	3453865804416212	108	149	52194	1113	52194
3453865804416212	3453865930251665	149	150	52224	30	52224
3453646882841201	3453866010039013	0	151	52243	52243	52243
3453646882841201	3453866123594154	0	152	52269	52269	52269
3453864890179327	3453866295312533	135	153	52311	335	52311
3453866295312533	3453866374608519	153	154	52330	19	52330
3453646882841201	3453866517658166	0	155	52364	52364	52364
3453646882841201	3453866639318511	0	156	52392	52392	52392
3453865930251665	3453866643804714	150	157	52394	170	52394
3453866643804714	3453866781986616	157	158	52426	32	52426
3453646882841201	3453866937210618	0	159	52464	52464	52464
3453646882841201	3453866974672809	0	160	52473	52473	52473
